,Name,Icon URL,Average User Rating,User Rating Count,Price,In-app Purchases,Genres,Image
21,All You Can Eat,https://is2-ssl.mzstatic.com/image/thumb/Purple123/v4/36/63/81/366381d1-4a44-78fb-20e9-e9f06ba6abe9/source/512x512bb.jpg,2.0,30.0,0.99,,"Entertainment, Games, Casual, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
24,Boomshine,https://is3-ssl.mzstatic.com/image/thumb/Purple117/v4/1b/6b/ef/1b6bef71-6d71-1ee1-8f3c-76fabc8fb2c6/source/512x512bb.jpg,4.0,637.0,0.99,,"Games, Puzzle, Entertainment, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
25,Gaia Lite,https://is1-ssl.mzstatic.com/image/thumb/Purple/v4/5c/7c/d5/5c7cd5b4-0b74-4360-bbe6-8a2667507020/source/512x512bb.jpg,3.5,1563.0,0.0,,"Games, Strategy, Puzzle",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
26,Fieldrunners,https://is1-ssl.mzstatic.com/image/thumb/Purple128/v4/b3/16/1f/b3161f9a-b708-401d-f949-c263d203af51/source/512x512bb.jpg,4.0,41869.0,2.99,"0.99, 0.99, 0.99, 0.99","Games, Entertainment, Action, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
27,Lux Touch 3 - World Domination,https://is4-ssl.mzstatic.com/image/thumb/Purple124/v4/36/4d/8b/364d8b24-5911-a302-c5b5-e4bcb0e5861d/source/512x512bb.jpg,3.5,72428.0,0.0,,"Games, Entertainment, Strategy, Board",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
28,"""Don't Square""",https://is2-ssl.mzstatic.com/image/thumb/Purple123/v4/2b/d3/67/2bd36771-8d63-f5d6-729e-214f46fc33c9/source/512x512bb.jpg,2.5,190.0,0.99,,"Games, Board, Entertainment, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
29,Smart Rummy,https://is1-ssl.mzstatic.com/image/thumb/Purple71/v4/61/aa/6f/61aa6fa5-a68b-dd37-3431-6ad0ffb9c90a/source/512x512bb.jpg,2.5,69.0,2.99,,"Games, Strategy, Card, Entertainment",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
30,Expert Sudoku,https://is1-ssl.mzstatic.com/image/thumb/Purple117/v4/53/37/03/5337032f-b6b8-db22-f8ff-820636abae6c/source/512x512bb.jpg,4.0,523.0,2.99,,"Games, Strategy, Entertainment, Puzzle",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
31,Edgewise,https://is3-ssl.mzstatic.com/image/thumb/Purple7/v4/6f/f9/33/6ff9339b-fd18-b2b0-6536-abae5b2f50f2/source/512x512bb.jpg,3.5,23.0,0.0,"1.99, 0.99","Games, Card, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
32,Chess Genius,https://is5-ssl.mzstatic.com/image/thumb/Purple20/v4/38/7b/1b/387b1b35-5afb-6c93-af1e-1b73e483f30e/source/512x512bb.jpg,4.0,156.0,5.99,,"Games, Strategy, Board, Entertainment",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
33,Chess - tChess Pro,https://is1-ssl.mzstatic.com/image/thumb/Purple123/v4/88/3b/3c/883b3ce3-c56f-1b64-60ab-4a3b3d7920cf/source/512x512bb.jpg,4.0,3062.0,7.99,,"Games, Board, Entertainment, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
34,Toobz,https://is1-ssl.mzstatic.com/image/thumb/Purple4/v4/e6/88/05/e688059e-2809-4f8f-9f78-cb7ceb7b461b/source/512x512bb.jpg,3.5,2425.0,0.99,,"Games, Strategy, Puzzle",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
35,Color Sudoku,https://is2-ssl.mzstatic.com/image/thumb/Purple117/v4/6a/95/e4/6a95e45e-bb8e-2c02-0d7e-fb04b25cfc83/source/512x512bb.jpg,3.5,518.0,2.99,,"Games, Puzzle, Entertainment, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
36,Chess - tChess Lite,https://is4-ssl.mzstatic.com/image/thumb/Purple113/v4/f2/93/0a/f2930aba-2837-5a77-087c-4a9dd9a20973/source/512x512bb.jpg,3.5,5488.0,0.99,,"Games, Strategy, Entertainment, Board",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
37,Checkers Online Lite,https://is3-ssl.mzstatic.com/image/thumb/Purple71/v4/49/bc/fa/49bcfa84-d707-0c3f-6ff3-cadc7ab9cb73/source/512x512bb.jpg,2.5,3521.0,0.0,,"Games, Strategy, Board",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
38,TapDefense,https://is2-ssl.mzstatic.com/image/thumb/Purple/v4/e1/1a/8b/e11a8b61-c94d-483c-99d9-4e544605ad2a/source/512x512bb.jpg,3.5,273687.0,0.0,"0.99, 2.99, 1.99","Games, Strategy, Entertainment, Simulation",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
39,Chinese Chess (Xiangqi),https://is5-ssl.mzstatic.com/image/thumb/Purple5/v4/38/cb/8e/38cb8e93-4a7f-9bbf-ca69-ccad73bd07f0/source/512x512bb.jpg,3.0,67.0,0.99,,"Games, Strategy, Board",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
40,Warfare Incorporated,https://is3-ssl.mzstatic.com/image/thumb/Purple123/v4/7c/38/8d/7c388de3-14ad-dc70-a199-b00c65c045c6/source/512x512bb.jpg,3.5,5931.0,0.0,,"Games, Strategy, Entertainment, Action",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
